assessmentId,scientificName,internalTaxonId,AOO.range,EOO.range,DepthLower.limit,DepthUpper.limit,Congregatory.value,NoThreats.noThreats,ElevationLower.limit,ElevationUpper.limit,PopulationSize.range,ThreatsUnknown.value,LocationsNumber.range,GenerationLength.range,MovementPatterns.pattern,SubpopulationNumber.range,AreaRestricted.isRestricted,CropWildRelative.isRelative,YearOfPopulationEstimate.value,InPlaceEducationControlled.value,SevereFragmentation.isFragmented,InPlaceResearchRecoveryPlan.value,InPlaceLandWaterProtectionInPA.value,InPlaceSpeciesManagementExSitu.value,InPlaceResearchMonitoringScheme.value,InPlaceEducationSubjectToPrograms.value,InPlaceSpeciesManagementHarvestPlan.value,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceEducationInternationalLegislation.value,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceLandWaterProtectionPercentProtected.value
87874379,Turdus pilaris,22708816,,21700000,,,,,,,70000000-144999999,,,5.2,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,Yes,No,"Yes, over entire range",
87878799,Turdus viscivorus,22708829,,17000000,,,,,600,,13000000-29999999,,,6.1,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,Yes,No,"Yes, over entire range",
87882842,Luscinia luscinia,22709691,,2050000,,,,,,2200,12000000-21999999,,,4.2,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,Yes,No,"Yes, over entire range",
87886433,Calliope calliope,22709701,,10100000,,,,,,,U,,,4.2,Full Migrant,,No,,,No,No,No,No,No,No,No,,,Yes,No,"Yes, over entire range",
87892860,Tarsiger cyanurus,105294257,,5970000,,,,,,,U,,,3.8,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,Yes,No,"Yes, over entire range",
87893515,Irania gutturalis,22709758,,674000,,,,,,2700,1800000-4099999,,,3.8,Full Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,Yes,No,"Yes, over entire range",
87906903,Saxicola rubetra,22710156,,17000000,,,,,,3000,17000000-28999999,,,3.3,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,Yes,No,"Yes, over entire range",
87927176,Oenanthe pleschanka,22710308,,5110000,,,,,1200,3500,400000-2499999,,,4.1,Full Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,Yes,No,"Yes, over entire range",
87931767,Oenanthe isabellina,22710333,,16000000,,,,,,2700,20000000-89999999,,,4.1,Full Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,Yes,No,"Yes, over entire range",
87933903,Monticola solitarius,22708286,,66600000,,,,,,3600,1000000-3999999,,,3.8,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,Yes,No,"Yes, over entire range",
88032500,Petronia petronia,22718307,,26100000,,,,,,,20000000-49999999,,,2.8,Not a Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,No,No,"Yes, over entire range",
88035409,Montifringilla henrici,22734959,,359000,,,,,,,U,,,2.8,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88039291,Prunella collaris,22718617,,38000000,,,,,1800,5000,1000000-2999999,,,4.6,Full Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88042898,Prunella atrogularis,22718644,,5040000,,,,,,,10000-99999,,,4.6,Full Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88185452,Anthus berthelotii,22718508,,179000,,,,,,2000,60000-300000,,,3.7,Not a Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88191672,Anthus hodgsoni,22718550,,18800000,,,,,,4000,U,,,3.7,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88203665,Fringilla montifringilla,22720041,,20900000,,,,,,,120000000-199999999,,,5.7,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,No,No,"Yes, over entire range",
88223299,Serinus pusillus,22720045,,8250000,,,,,2000,4600,5000000-19999999,,,3.8,Altitudinal Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88499273,Rhodopechys sanguineus,22725105,,5490000,,,,,1700,2800,500000-2199999,,,4.3,Full Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88509707,Rhodospiza obsoleta,22720532,,11100000,,,,,,,U,,,4.3,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88642593,Carpodacus rubicilla,22720610,,8180000,,,,,2500,5000,U,,,4.1,Altitudinal Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88651987,Loxia pytyopsittacus,22720638,,4500000,,,,,,,800000-3199999,,,3.4,Not a Migrant,,No,,2012,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
88690876,Loxia scotica,22720641,,21100,,,,,,,8200-22800,,,3.4,Not a Migrant,,No,,2012,No,No,Yes,Yes,No,No,No,,,Yes,No,"Yes, over entire range",
89289181,Emberiza citrinella,22720878,,21600000,,,,,,,40000000-69999999,,,3.7,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,No,No,"Yes, over entire range",
89314245,Emberiza melanocephala,22720990,,723000,,,,,,,7000000-25999999,,,3.6,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,No,No,"Yes, over entire range",
89345729,Plectrophenax nivalis,22721043,,43400000,,,,,,,,,,3.9,Full Migrant,,No,,2009,No,No,No,Yes,No,Yes,No,,,No,No,"Yes, over entire range",
89516443,Oenanthe deserti,22710325,,21400000,,,,,,2700,U,,,4.1,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,Yes,No,"Yes, over entire range",
89519348,Prunella montanella,22718630,,2220000,,,,,,,U,,,4.6,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
89641304,Emberiza rustica,22720960,,4870000,,,,,,,6000000-8999999,,,3.6,Full Migrant,,No,,2012,No,No,No,Yes,No,Yes,No,,,No,No,"Yes, over entire range",
90011765,Melanocorypha yeltoniensis,22717301,,2420000,,,,,,,,,,3.8,Full Migrant,,No,,2009,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93690852,Xenicus longipes,22698580,,,,,,,,,,,,3.5,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,No,
93691279,Traversia lyalli,22698593,,,,,,,,,,,,3.5,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,No,
93691645,Hydrornis nipalensis,22698602,,1620000,,,,,,1500,U,,,4.2,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93691868,Hydrornis soror,22698605,,1250000,,,,,50,1700,U,,,4.2,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93692255,Hydrornis schneideri,22698611,,165000,,,,,900,2400,2500-9999,,11-100,4.2,Not a Migrant,2-100,No,,2000,No,Yes,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93692913,Hydrornis cyaneus,22698617,,2380000,,,,,60,2000,U,,,4.2,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93693122,Hydrornis elliotii,22698625,,940000,,,,,,800,U,,,4.2,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93693998,Pitta sordida,103656903,,6340000,,,,,,2000,U,,,4.2,Full Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
93694792,Pitta steerii,22698644,,252000,,,,,,750,2500-9999,,11-100,4.2,Not a Migrant,2-100,No,,1999,No,Yes,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93695101,Erythropitta kochi,22698648,,176000,,,,,360,2200,10000-19999,,11-100,4.2,Not a Migrant,2-100,No,,2000,Yes,Yes,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93695428,Erythropitta erythrogaster,103656341,,1010000,,,,,,2100,U,,,4.2,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
93695647,Erythropitta dohertyi,22698656,,26300,,,,,,1200,U,,,4.2,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93696083,Erythropitta venusta,22698667,,200000,,,,,400,1400,2500-9999,,11-100,4.2,Not a Migrant,2-100,No,,2000,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93696398,Pitta angolensis,22698671,,7530000,,,,,,1000,U,,,4.2,Full Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93696932,Pitta brachyura,22698681,,336000,,,,,,1800,U,,,4.2,Full Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93697612,Pitta moluccensis,22698688,,1790000,,,,,,1800,U,,,4.2,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93697903,Pitta megarhyncha,22698691,,1680000,,,,,,,U,,,4.2,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93698375,Pitta iris,22698697,,611000,,,,,,380,U,,,4.2,Not a Migrant,,No,,,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
93698774,Pitta anerythra,22698703,,45500,,,,,,600,250-999,,1-10,4.2,Not a Migrant,2-100,No,,2000,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
93699372,Smithornis sharpei,22698711,,2220000,,,,,100,1950,U,,,4.2,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93700153,Corydon sumatranus,22698724,,5220000,,,,,,2000,U,,,4.2,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93700674,Eurylaimus harterti,103656950,,5140000,,,,,,1050,U,,,4.2,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93701538,Serilophus lunatus,103656929,,4060000,,,,,300,2000,U,,,4.2,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93701800,Psarisomus dalhousiae,22698747,,7910000,,,,,150,2500,U,,,4.2,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93703009,Philepitta schlegeli,22698767,,204000,,,,,,800,U,,,4.2,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93703845,Mionectes striaticollis,22698790,,2350000,,,,,600,3400,U,,,4,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93704521,Mionectes macconnelli,103680198,,5170000,,,,,,,U,,,4,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93705065,Leptopogon taczanowskii,22698810,,208000,,,,,1400,2900,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93705912,Pseudotriccus simplex,22698824,,128000,,,,,1100,2100,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93706077,Pseudotriccus ruficeps,22698829,,2200000,,,,,1850,3350,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93706254,Poecilotriccus ruficeps,22698834,,582000,,,,,1600,2700,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93706446,Poecilotriccus capitalis,22698839,,3160000,,,,,,1350,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93706639,Poecilotriccus albifacies,22698844,,34400,,,,,,1100,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93707153,Hemitriccus josephinae,22698863,,842000,,,,,,,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93707669,Hemitriccus obsoletus,22698882,,464000,,,,,500,2300,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93708004,Hemitriccus orbitatus,22698907,,1010000,,,,,,600,U,,,3.6,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93708803,Hemitriccus spodiops,22698929,,87000,,,,,800,1600,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93710615,Hemitriccus furcatus,22698964,,238000,,,,,,1200,2500-9999,,11-100,3.6,Not a Migrant,2-100,No,,2000,No,Yes,No,No,No,No,No,,,No,No,"Yes, over entire range",
93710895,Poecilotriccus senex,22698972,,136000,,,,,,1050,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93711049,Poecilotriccus russatus,22698979,,28800,,,,,1200,2500,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93711220,Poecilotriccus plumbeiceps,22698986,,6150000,,,,,750,2750,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93711424,Poecilotriccus latirostris,22698993,,6030000,,,,,,1100,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93711621,Poecilotriccus fumifrons,22699000,,4240000,,,,,,400,U,,,3.6,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93712028,Todirostrum maculatum,22699018,,6600000,,,,,,500,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93712282,Todirostrum poliocephalum,22699022,,726000,,,,,,1200,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93713181,Todirostrum pictum,22699039,,1850000,,,,,,400,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93713390,Todirostrum chrysocrotaphum,22699043,,5860000,,,,,,1400,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93713585,Poecilotriccus calopterus,22699047,,272000,,,,,,1450,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93713762,Poecilotriccus pulchellus,22699054,,8400,,,,,400,1500,U,,,3.6,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93713932,Corythopis torquatus,22699061,,7330000,,,,,,1400,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93714507,Phyllomyias reiseri,22699086,,732000,,,,,700,1000,U,,,3.6,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93714671,Phyllomyias virescens,22699092,,1320000,,,,,,1800,,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93714835,Phyllomyias sclateri,22699097,,602000,,,,,400,2400,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93715006,Phyllomyias griseocapilla,22699100,,596000,,,,,750,1850,U,,,3.6,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93715493,Phyllomyias plumbeiceps,22699110,,1120000,,,,,1200,2200,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93715652,Phyllomyias nigrocapillus,22699113,,1850000,,,,,1500,3400,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93715831,Phyllomyias cinereiceps,22699116,,1690000,,,,,900,2700,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93715990,Phyllomyias uropygialis,22699119,,2980000,,,,,2500,3000,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93716554,Zimmerius bolivianus,22699132,,236000,,,,,1000,2830,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93716730,Zimmerius cinereicapilla,22699135,,696000,,,,,500,1350,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93716981,Zimmerius viridiflavus,22699156,,238000,,,,,1000,2500,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93717141,Ornithion inerme,22699160,,10200000,,,,,,1200,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93718334,Phaeomyias murina,103681893,,15000000,,,,,,2400,U,,,3.6,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93719594,Sublegatus modestus,22699211,,8420000,,,,,,2750,U,,,3.6,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93720029,Myiopagis gaimardii,22699230,,12100000,,,,,,1500,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93720486,Myiopagis subplacens,22699239,,163000,,,,,,1750,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93720844,Myiopagis cotta,22699245,,13500,,,,,,2000,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93721019,Myiopagis viridicata,22699248,,21500000,,,,,,2500,,,,3.6,Full Migrant,,No,,2009,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93721311,Pseudelaenia leucospodia,22699251,,122000,,,,,,800,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93722196,Elaenia spectabilis,22699265,,3910000,,,,,,1000,U,,,4.6,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93722423,Elaenia ridleyana,22699268,,38,,,,,,,500,,1,4.6,Not a Migrant,1,No,,2003,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
93723324,Elaenia strepera,22699277,,257000,,,,,500,2000,U,,,4.6,Full Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93723742,Elaenia gigas,22699283,,1830000,,,,,250,1250,U,,,4.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93724122,Elaenia cristata,22699289,,9480000,,,,,,1500,U,,,4.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93724998,Elaenia obscura,103681177,,1450000,,,,,750,3000,U,,,4.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93725203,Elaenia dayi,22699304,,88900,,,,,1800,2600,U,,,4.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93725612,Elaenia fallax,103681452,,7800,,,,,500,2000,U,,,4.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93725805,Mecocerculus leucophrys,22699313,,6010000,,,,,1300,4400,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93726012,Mecocerculus poecilocercus,22699316,,1550000,,,,,1400,3050,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93726171,Mecocerculus hellmayri,22699319,,303000,,,,,800,3000,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93726344,Mecocerculus calopterus,22699322,,234000,,,,,400,1950,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93726519,Mecocerculus minor,22699325,,648000,,,,,1600,2700,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
93726689,Mecocerculus stictopterus,22699328,,2750000,,,,,1900,3600,U,,,3.6,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
