internalTaxonId,scientificName,name,language,main
22715775,Liocichla steerii,Steere's Liocichla,English,false
22715775,Liocichla steerii,Taiwan Liocichla,English,true
22705038,Lanius minor,Pie-grièche à poitrine rose,French,false
22705038,Lanius minor,Lesser Grey Shrike,English,true
22705775,Perisoreus infaustus,Siberian Jay,English,true
103727252,Nucifraga caryocatactes,Northern Nutcracker,English,true
22705916,Pyrrhocorax pyrrhocorax,Chough,English,false
22705916,Pyrrhocorax pyrrhocorax,Crave à bec rouge,French,false
22705916,Pyrrhocorax pyrrhocorax,Red-billed Chough,English,true
22705921,Pyrrhocorax graculus,Alpine Chough,English,false
22705921,Pyrrhocorax graculus,Yellow-billed Chough,English,true
22708146,Bombycilla garrulus,Waxwing,English,false
22708146,Bombycilla garrulus,Bohemian Waxwing,English,true
22711750,Poecile cinctus,Gray-headed Chickadee,English,false
22711750,Poecile cinctus,Siberian Tit,English,true
22711810,Lophophanes cristatus,Crested Tit,English,true
22735990,Parus major,Great Tit,English,true
22735985,Cyanistes cyanus,Azure Tit,English,true
103871923,Aegithalos caudatus,Long-tailed Bushtit,English,false
103871923,Aegithalos caudatus,Long-tailed Tit,English,true
22717285,Melanocorypha calandra,Calandra Lark,English,true
22714684,Locustella luscinioides,Locustelle luscinioïde,French,false
22714684,Locustella luscinioides,Savi's Warbler,English,true
22714700,Acrocephalus schoenobaenus,Phragmite des joncs,French,false
22714700,Acrocephalus schoenobaenus,Sedge Warbler,English,true
22714904,Hippolais languida,Hypolaïs d'Upcher,French,false
22714904,Hippolais languida,Upcher's Warbler,English,true
22714908,Hippolais olivetorum,Hypolaïs des oliviers,French,false
22714908,Hippolais olivetorum,Olive-tree Warbler,English,true
22715240,Phylloscopus trochilus,Pouillot fitis,French,false
22715240,Phylloscopus trochilus,Willow Warbler,English,true
22729528,Phylloscopus canariensis,Canary Islands Chiffchaff,English,true
22715255,Phylloscopus bonelli,Western Bonelli's Warbler,English,true
22715260,Phylloscopus sibilatrix,Pouillot siffleur,French,false
