internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22699061,Corythopis torquatus,Corythopis torquata,Corythopis torquata,,"Sibley and Monroe (1990, 1993)",,
22699061,Corythopis torquatus,Corythopis torquata,Corythopis torquata,,Stotz et al. (1996),,
22699086,Phyllomyias reiseri,Xanthomyias reiseri reiseri Collar and Andrew (1988),Xanthomyias reiseri,reiseri,Collar and Andrew (1988),,
22699100,Phyllomyias griseocapilla,Oreotriccus griseocapillus griseocapillus Collar and Andrew (1988),Oreotriccus griseocapillus,griseocapillus,Collar and Andrew (1988),,
22699135,Zimmerius cinereicapilla,"Zimmerius cinereicapillus cinereicapillus Sibley and Monroe (1990, 1993)",Zimmerius cinereicapillus,cinereicapillus,"Sibley and Monroe (1990, 1993)",,
22699135,Zimmerius cinereicapilla,Zimmerius cinereicapillus cinereicapillus Stotz et al. (1996),Zimmerius cinereicapillus,cinereicapillus,Stotz et al. (1996),,
22699251,Pseudelaenia leucospodia,Myiopagis leucospodia,Myiopagis leucospodia,,Stotz et al. (1996),,
22699251,Pseudelaenia leucospodia,Myiopagis leucospodia leucospodia BirdLife International (2004),Myiopagis leucospodia,leucospodia,BirdLife International (2004),,
103681997,Serpophaga subcristata,"Serpophaga munda von Berlepsch, 1893",Serpophaga,munda,"von Berlepsch, 1893",,
22699369,Uromyias agilis,"Uromyias agilis agilis Sibley and Monroe (1990, 1993)",Uromyias agilis,agilis,"Sibley and Monroe (1990, 1993)",,
22699369,Uromyias agilis,"Anairetes agilis (Sclater, 1856)",Anairetes,agilis,"(Sclater, 1856)",,
22699376,Uromyias agraphia,"Uromyias agraphia agraphia Sibley and Monroe (1990, 1993)",Uromyias agraphia,agraphia,"Sibley and Monroe (1990, 1993)",,
22699376,Uromyias agraphia,"Anairetes agraphia (Chapman, 1919)",Anairetes,agraphia,"(Chapman, 1919)",,
22699458,Pogonotriccus ophthalmicus,"Phylloscartes ophthalmicus (Taczanowski, 1874)",Phylloscartes,ophthalmicus,"(Taczanowski, 1874)",,
22699469,Pogonotriccus lanyoni,"Phylloscartes lanyoni Graves, 1988",Phylloscartes,lanyoni,"Graves, 1988",,
22699477,Pogonotriccus poecilotis,"Phylloscartes poecilotis (Sclater, 1862)",Phylloscartes,poecilotis,"(Sclater, 1862)",,
22699484,Pogonotriccus chapmani,"Phylloscartes chapmani Gilliard, 1940",Phylloscartes,chapmani,"Gilliard, 1940",,
22699497,Phylloscartes paulista,Phylloscartes paulistus BirdLife International (2004),Phylloscartes,paulistus,BirdLife International (2004),,
22699497,Phylloscartes paulista,"Phylloscartes paulistus Sibley and Monroe (1990, 1993)",Phylloscartes,paulistus,"Sibley and Monroe (1990, 1993)",,
22699497,Phylloscartes paulista,Phylloscartes paulistus Collar et al. (1994),Phylloscartes,paulistus,Collar et al. (1994),,
22699497,Phylloscartes paulista,Phylloscartes paulistus BirdLife International (2000),Phylloscartes,paulistus,BirdLife International (2000),,
22699497,Phylloscartes paulista,Phylloscartes paulistus Stotz et al. (1996),Phylloscartes,paulistus,Stotz et al. (1996),,
22699497,Phylloscartes paulista,Phylloscartes paulistus Collar and Andrew (1988),Phylloscartes,paulistus,Collar and Andrew (1988),,
22699680,Nephelomyias pulcher,Myiophobus pulcher,Myiophobus pulcher,,"BirdLife International (2004, 2008)",,
22699680,Nephelomyias pulcher,Myiophobus pulcher,Myiophobus pulcher,,Stotz et al. (1996),,
22699680,Nephelomyias pulcher,Myiophobus pulcher,Myiophobus pulcher,,"Sibley and Monroe (1990, 1993)",,
22699688,Nephelomyias lintoni,Myiophobus lintoni,Myiophobus lintoni,,"BirdLife International (2004, 2008)",,
22699688,Nephelomyias lintoni,Myiophobus lintoni,Myiophobus lintoni,,Stotz et al. (1996),,
22699688,Nephelomyias lintoni,Myiophobus lintoni,Myiophobus lintoni,,"Sibley and Monroe (1990, 1993)",,
22699696,Nephelomyias ochraceiventris,Myiophobus ochraceiventris,Myiophobus ochraceiventris,,Stotz et al. (1996),,
22699696,Nephelomyias ochraceiventris,Myiophobus ochraceiventris,Myiophobus ochraceiventris,,"BirdLife International (2004, 2008)",,
22699696,Nephelomyias ochraceiventris,Myiophobus ochraceiventris,Myiophobus ochraceiventris,,"Sibley and Monroe (1990, 1993)",,
22699730,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomea,Pyrrhomyias cinnamomea,,BirdLife International (2004),,
22699730,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomea,Pyrrhomyias cinnamomea,,Stotz et al. (1996),,
22699730,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomea,Pyrrhomyias cinnamomea,,"Sibley and Monroe (1990, 1993)",,
22699751,Lathrotriccus euleri,Empidonax euleri euleri Stotz et al. (1996),Empidonax euleri,euleri,Stotz et al. (1996),,
22699757,Lathrotriccus griseipectus,Empidonax griseipectus griseipectus Stotz et al. (1996),Empidonax griseipectus,griseipectus,Stotz et al. (1996),,
22699757,Lathrotriccus griseipectus,Empidonax griseipectus griseipectus Collar and Andrew (1988),Empidonax griseipectus,griseipectus,Collar and Andrew (1988),,
22699898,Silvicultrix frontalis,"Silvicultrix frontalis frontalis Sibley and Monroe (1990, 1993)",Silvicultrix frontalis,frontalis,"Sibley and Monroe (1990, 1993)",,
22699898,Silvicultrix frontalis,"Ochthoeca frontalis (Lafresnaye, 1847)",Ochthoeca,frontalis,"(Lafresnaye, 1847)",,
22699905,Silvicultrix jelskii,"Silvicultrix jelskii jelskii Sibley and Monroe (1990, 1993)",Silvicultrix jelskii,jelskii,"Sibley and Monroe (1990, 1993)",,
22699905,Silvicultrix jelskii,"Ochthoeca jelskii (Taczanowski, 1883)",Ochthoeca,jelskii,"(Taczanowski, 1883)",,
22699912,Silvicultrix diadema,"Silvicultrix diadema diadema Sibley and Monroe (1990, 1993)",Silvicultrix diadema,diadema,"Sibley and Monroe (1990, 1993)",,
22699912,Silvicultrix diadema,"Ochthoeca diadema (Hartlaub, 1843)",Ochthoeca,diadema,"(Hartlaub, 1843)",,
22699919,Silvicultrix pulchella,"Silvicultrix pulchella pulchella Sibley and Monroe (1990, 1993)",Silvicultrix pulchella,pulchella,"Sibley and Monroe (1990, 1993)",,
22699919,Silvicultrix pulchella,"Ochthoeca pulchella (Sclater & Salvin, 1876)",Ochthoeca,pulchella,"(Sclater & Salvin, 1876)",,
22699963,Colorhamphus parvirostris,Ochthoeca parvirostris parvirostris BirdLife International (2004),Ochthoeca parvirostris,parvirostris,BirdLife International (2004),,
22699963,Colorhamphus parvirostris,Ochthoeca parvirostris,Ochthoeca parvirostris,,Stotz et al. (1996),,
22699970,Ochthornis littoralis,Ochthoeca littoralis,Ochthoeca littoralis,,Stotz et al. (1996),,
22699970,Ochthornis littoralis,Ochthoeca littoralis littoralis BirdLife International (2004),Ochthoeca littoralis,littoralis,BirdLife International (2004),,
22700010,Xolmis cinereus,Xolmis cinerea,Xolmis cinerea,,BirdLife International (2004),,
22700010,Xolmis cinereus,Xolmis cinerea,Xolmis cinerea,,Stotz et al. (1996),,
22700010,Xolmis cinereus,Xolmis cinerea,Xolmis cinerea,,"Sibley and Monroe (1990, 1993)",,
22700019,Xolmis coronatus,Xolmis coronata,Xolmis coronata,,Stotz et al. (1996),,
22700019,Xolmis coronatus,Xolmis coronata,Xolmis coronata,,"Sibley and Monroe (1990, 1993)",,
22700019,Xolmis coronatus,Xolmis coronata,Xolmis coronata,,BirdLife International (2004),,
22700027,Xolmis velatus,Xolmis velata,Xolmis velata,,Stotz et al. (1996),,
22700027,Xolmis velatus,Xolmis velata,Xolmis velata,,"Sibley and Monroe (1990, 1993)",,
22700027,Xolmis velatus,Xolmis velata,Xolmis velata,,BirdLife International (2004),,
22700038,Xolmis rubetra,Neoxolmis rubetra rubetra BirdLife International (2004),Neoxolmis rubetra,rubetra,BirdLife International (2004),,
22700038,Xolmis rubetra,Neoxolmis rubetra,Neoxolmis rubetra,,Stotz et al. (1996),,
22700045,Xolmis salinarum,Neoxolmis salinarum salinarum BirdLife International (2000),Neoxolmis salinarum,salinarum,BirdLife International (2000),,
22700045,Xolmis salinarum,Neoxolmis salinarum,Neoxolmis salinarum,,BirdLife International (2004),,
22700072,Agriornis montanus,Agriornis montana,Agriornis montana,,"Sibley and Monroe (1990, 1993)",,
22700072,Agriornis montanus,Agriornis montana,Agriornis montana,,Stotz et al. (1996),,
22700072,Agriornis montanus,Agriornis montana,Agriornis montana,,BirdLife International (2004),,
22700095,Agriornis lividus,Agriornis livida,Agriornis livida,,Stotz et al. (1996),,
22700095,Agriornis lividus,Agriornis livida,Agriornis livida,,"Sibley and Monroe (1990, 1993)",,
22700095,Agriornis lividus,Agriornis livida,Agriornis livida,,BirdLife International (2004),,
22700142,Muscisaxicola maclovianus,Muscisaxicola macloviana,Muscisaxicola macloviana,,"Sibley and Monroe (1990, 1993)",,
22700142,Muscisaxicola maclovianus,Muscisaxicola macloviana,Muscisaxicola macloviana,,Stotz et al. (1996),,
22700142,Muscisaxicola maclovianus,Muscisaxicola macloviana,Muscisaxicola macloviana,,BirdLife International (2004),,
22700183,Muscisaxicola cinereus,Muscisaxicola cinerea,Muscisaxicola cinerea,,"Sibley and Monroe (1990, 1993)",,
22700183,Muscisaxicola cinereus,Muscisaxicola cinerea,Muscisaxicola cinerea,,BirdLife International (2004),,
22700183,Muscisaxicola cinereus,Muscisaxicola cinerea,Muscisaxicola cinerea,,Stotz et al. (1996),,
22700266,Hymenops perspicillatus,Hymenops perspicillata perspicillata Stotz et al. (1996),Hymenops perspicillata,perspicillata,Stotz et al. (1996),,
22700291,Arundinicola leucocephala,Fluvicola leucocephala,Fluvicola leucocephala,,BirdLife International (2004),,
22700291,Arundinicola leucocephala,Fluvicola leucocephala leucocephala Stotz et al. (1996),Fluvicola leucocephala,leucocephala,Stotz et al. (1996),,
22700303,Alectrurus risora,Yetapa risoria risoria Collar and Andrew (1988),Yetapa risoria,risoria,Collar and Andrew (1988),,
22700303,Alectrurus risora,Alectrurus risorus risorus Stotz et al. (1996),Alectrurus risorus,risorus,Stotz et al. (1996),,
22700357,Casiornis rufus,Casiornis rufa,Casiornis rufa,,BirdLife International (2004),,
22700357,Casiornis rufus,Casiornis rufa,Casiornis rufa,,"Sibley and Monroe (1990, 1993)",,
22700357,Casiornis rufus,Casiornis rufa,Casiornis rufa,,Stotz et al. (1996),,
22700365,Casiornis fuscus,Casiornis fusca,Casiornis fusca,,BirdLife International (2004),,
22700365,Casiornis fuscus,Casiornis fusca,Casiornis fusca,,"Sibley and Monroe (1990, 1993)",,
22700365,Casiornis fuscus,Casiornis fusca,Casiornis fusca,,Stotz et al. (1996),,
22700464,Ramphotrigon megacephalum,Ramphotrigon megacephala,Ramphotrigon megacephala,,Stotz et al. (1996),,
22700464,Ramphotrigon megacephalum,Ramphotrigon megacephala,Ramphotrigon megacephala,,BirdLife International (2004),,
22700464,Ramphotrigon megacephalum,Ramphotrigon megacephala,Ramphotrigon megacephala,,"Sibley and Monroe (1990, 1993)",,
22700523,Griseotyrannus aurantioatrocristatus,"Griseotyrannus aurantioatrocristatus aurantioatrocristatus Sibley and Monroe (1990, 1993)",Griseotyrannus aurantioatrocristatus,aurantioatrocristatus,"Sibley and Monroe (1990, 1993)",,
22700523,Griseotyrannus aurantioatrocristatus,"Empidonomus aurantioatrocristatus (d'Orbigny & Lafresnaye, 1837)",Empidonomus,aurantioatrocristatus,"(d'Orbigny & Lafresnaye, 1837)",,
22700609,Phelpsia inornata,Conopias inornata inornata Stotz et al. (1996),Conopias inornata,inornata,Stotz et al. (1996),,
22700609,Phelpsia inornata,Conopias inornatus,Conopias inornatus,,BirdLife International (2004),,
22700609,Phelpsia inornata,Phelpsia inornata,Phelpsia inornata,,"Sibley and Monroe (1990, 1993)",,
22700753,Ampelion rubrocristatus,"Ampelion rubrocristata rubrocristata Sibley and Monroe (1990, 1993)",Ampelion rubrocristata,rubrocristata,"Sibley and Monroe (1990, 1993)",,
22700773,Zaratornis stresemanni,Ampelion stresemanni stresemanni Collar and Andrew (1988),Ampelion stresemanni,stresemanni,Collar and Andrew (1988),,
22700773,Zaratornis stresemanni,Ampelion stresemanni stresemanni Stotz et al. (1996),Ampelion stresemanni,stresemanni,Stotz et al. (1996),,
22700838,Snowornis cryptolophus,Lipaugus cryptolophus,Lipaugus cryptolophus,,"Sibley and Monroe (1990, 1993)",,
22700838,Snowornis cryptolophus,Lipaugus cryptolophus,Lipaugus cryptolophus,,BirdLife International (2004),,
22700838,Snowornis cryptolophus,Lipaugus cryptolophus,Lipaugus cryptolophus,,Stotz et al. (1996),,
22700957,Procnias albus,Procnias alba,Procnias alba,,"Sibley and Monroe (1990, 1993)",,
22700957,Procnias albus,Procnias alba,Procnias alba,,Stotz et al. (1996),,
22700957,Procnias albus,Procnias alba,Procnias alba,,BirdLife International (2004),,
22700994,Ceratopipra mentalis,"Pipra mentalis Sclater, 1857",Pipra,mentalis,"Sclater, 1857",,
22700997,Ceratopipra erythrocephala,"Pipra erythrocephala (Linnaeus, 1758)",Pipra,erythrocephala,"(Linnaeus, 1758)",,
22701000,Ceratopipra rubrocapilla,"Pipra rubrocapilla Temminck, 1821",Pipra,rubrocapilla,"Temminck, 1821",,
22701012,Lepidothrix coronata,Pipra coronata,Pipra coronata,,"Sibley and Monroe (1990, 1993)",,
22701012,Lepidothrix coronata,Pipra coronata,Pipra coronata,,BirdLife International (2004),,
22701012,Lepidothrix coronata,Pipra coronota coronota AOU checklist (1998 + supplements),Pipra coronota,coronota,AOU checklist (1998 + supplements),,
22701027,Lepidothrix serena,Pipra serena,Pipra serena,,Stotz et al. (1996),,
22701027,Lepidothrix serena,Pipra serena,Pipra serena,,"Sibley and Monroe (1990, 1993)",,
22701027,Lepidothrix serena,Pipra serena,Pipra serena,,BirdLife International (2004),,
22701128,Chloropipo unicolor,Chloropipo unicolor,Chloropipo unicolor,,Stotz et al. (1996),,
22701128,Chloropipo unicolor,Chloropipo unicolor,Chloropipo unicolor,,BirdLife International (2004),,
22701128,Chloropipo unicolor,Chloropipo unicolor,Chloropipo unicolor,,"Sibley and Monroe (1990, 1993)",,
22701128,Chloropipo unicolor,"Xenopipo unicolor Taczanowski, 1884",Xenopipo,unicolor,"Taczanowski, 1884",,
22701134,Xenopipo uniformis,Chloropipo uniformis,Chloropipo uniformis,,BirdLife International (2004),,
22701134,Xenopipo uniformis,Chloropipo uniformis,Chloropipo uniformis,,"Sibley and Monroe (1990, 1993)",,
22701134,Xenopipo uniformis,Chloropipo uniformis,Chloropipo uniformis,,Stotz et al. (1996),,
22701147,Chloropipo flavicapilla,"Chloropipo flavicapilla (P.L. Sclater, 1852) [in Stotz <i>et al</i>. (1996)]",Chloropipo,flavicapilla,"(P.L. Sclater, 1852) [in Stotz <i>et al</i>. (1996)]",,
22701147,Chloropipo flavicapilla,"Chloropipo flavicapilla (P.L. Sclater, 1852) [in BirdLife International (2004)]",Chloropipo,flavicapilla,"(P.L. Sclater, 1852) [in BirdLife International (2004)]",,
22701147,Chloropipo flavicapilla,"Chloropipo flavicapilla (P.L. Sclater, 1852) [in Collar <i>et al</i>. (1994)]",Chloropipo,flavicapilla,"(P.L. Sclater, 1852) [in Collar <i>et al</i>. (1994)]",,
22701147,Chloropipo flavicapilla,"Chloropipo flavicapilla (P.L. Sclater, 1852) [in Sibley and Monroe (1990, 1993)]",Chloropipo,flavicapilla,"(P.L. Sclater, 1852) [in Sibley and Monroe (1990, 1993)]",,
22701147,Chloropipo flavicapilla,"Chloropipo flavicapilla (P.L. Sclater, 1852) [in BirdLife International (2000)]",Chloropipo,flavicapilla,"(P.L. Sclater, 1852) [in BirdLife International (2000)]",,
22701147,Chloropipo flavicapilla,"Xenopipo flavicapilla (P.L. Sclater, 1852)",Xenopipo,flavicapilla,"(P.L. Sclater, 1852)",,
22701147,Chloropipo flavicapilla,"Pipra flavicapilla P.L. Sclater, 1852",Pipra,flavicapilla,"P.L. Sclater, 1852",,
22701263,Thamnophilus melanonotus,"Sakesphorus melanonotus (Sclater, 1855)",Sakesphorus,melanonotus,"(Sclater, 1855)",,
22701266,Thamnophilus melanothorax,"Sakesphorus melanothorax (Sclater, 1857)",Sakesphorus,melanothorax,"(Sclater, 1857)",,
22701457,Isleria hauxwelli,"Myrmotherula hauxwelli (Sclater, 1857)",Myrmotherula,hauxwelli,"(Sclater, 1857)",,
22701460,Isleria guttata,"Myrmotherula guttata (Vieillot, 1825)",Myrmotherula,guttata,"(Vieillot, 1825)",,
22701463,Rhopias gularis,"Myrmotherula gularis (Spix, 1825)",Myrmotherula,gularis,"(Spix, 1825)",,
22701466,Epinecrophylla gutturalis,"Myrmotherula gutturalis Sclater & Salvin, 1881",Myrmotherula,gutturalis,"Sclater & Salvin, 1881",,
103657355,Epinecrophylla haematonota,"Epinecrophylla fjeldsaai (Krabbe, M.L. Isler, P.R. Isler, Whitney, Alonso & Greenfield, 1999)",Epinecrophylla,fjeldsaai,"(Krabbe, M.L. Isler, P.R. Isler, Whitney, Alonso & Greenfield, 1999)",,
103657373,Formicivora serrana,"Formicivora littoralis Gonzaga & Pacheco, 1990",Formicivora,littoralis,"Gonzaga & Pacheco, 1990",,
22701653,Euchrepomis humeralis,"Terenura humeralis Sclater & Salvin, 1880",Terenura,humeralis,"Sclater & Salvin, 1880",,
22701656,Euchrepomis sharpei,"Terenura sharpei Berlepsch, 1901",Terenura,sharpei,"Berlepsch, 1901",,
22701659,Euchrepomis spodioptila,"Terenura spodioptila Sclater & Salvin, 1881",Terenura,spodioptila,"Sclater & Salvin, 1881",,
22701706,Rhopornis ardesiacus,"Rhopornis ardesiaca (Wied, 1831) — BirdLife International (2004)",Rhopornis,ardesiaca,"(Wied, 1831) — BirdLife International (2004)",,
22701706,Rhopornis ardesiacus,"Rhopornis ardesiaca (Wied, 1831) — Stotz <i>et al</i>. (1996)",Rhopornis,ardesiaca,"(Wied, 1831) — Stotz <i>et al</i>. (1996)",,
22701706,Rhopornis ardesiacus,"Rhopornis ardesiaca (Wied, 1831) — Collar <i>et al</i>. (1994)",Rhopornis,ardesiaca,"(Wied, 1831) — Collar <i>et al</i>. (1994)",,
22701706,Rhopornis ardesiacus,"Rhopornis ardesiaca (Wied, 1831) — Collar and Andrew (1988)",Rhopornis,ardesiaca,"(Wied, 1831) — Collar and Andrew (1988)",,
22701706,Rhopornis ardesiacus,"Rhopornis ardesiaca (Wied, 1831) — Sibley and Monroe (1990, 1993)",Rhopornis,ardesiaca,"(Wied, 1831) — Sibley and Monroe (1990, 1993)",,
22701706,Rhopornis ardesiacus,"Rhopornis ardesiaca (Wied, 1831) — BirdLife International (2000)",Rhopornis,ardesiaca,"(Wied, 1831) — BirdLife International (2000)",,
22701755,Myrmelastes schistaceus,Percnostola schistacea,Percnostola schistacea,,Stotz et al. (1996),,
22701755,Myrmelastes schistaceus,Percnostola schistacea,Percnostola schistacea,,"Sibley and Monroe (1990, 1993)",,
22701755,Myrmelastes schistaceus,Percnostola schistacea,Percnostola schistacea,,BirdLife International (2004),,
22701755,Myrmelastes schistaceus,"Schistocichla schistacea (Sclater, 1858)",Schistocichla,schistacea,"(Sclater, 1858)",,
22701770,Myrmelastes caurensis,Percnostola caurensis,Percnostola caurensis,,BirdLife International (2004),,
22701770,Myrmelastes caurensis,Percnostola caurensis,Percnostola caurensis,,"Sibley and Monroe (1990, 1993)",,
22701770,Myrmelastes caurensis,Percnostola caurensis,Percnostola caurensis,,Stotz et al. (1996),,
22701770,Myrmelastes caurensis,"Schistocichla caurensis (Hellmayr, 1906)",Schistocichla,caurensis,"(Hellmayr, 1906)",,
22701792,Myrmoderus ferrugineus,"Turdus ferrugineus Statius Muller, 1776",Turdus,ferrugineus,"Statius Muller, 1776",,
22701792,Myrmoderus ferrugineus,"Myrmeciza ferruginea (Statius Muller, 1776)",Myrmeciza,ferruginea,"(Statius Muller, 1776)",,
22701798,Myrmoderus loricatus,"Myrmeciza loricata (Lichtenstein, 1823)",Myrmeciza,loricata,"(Lichtenstein, 1823)",,
22701813,Sipia nigricauda,Sipia nigricauda nigricauda Stotz et al. (1996),Sipia nigricauda,nigricauda,Stotz et al. (1996),,
22701813,Sipia nigricauda,Sipia nigricauda,Sipia nigricauda,,BirdLife International (2004),,
22701813,Sipia nigricauda,"Myrmeciza nigricauda Salvin & Godman, 1892",Myrmeciza,nigricauda,"Salvin & Godman, 1892",,
22701820,Aprositornis disjuncta,"Myrmeciza disjuncta Friedmann, 1945",Myrmeciza,disjuncta,"Friedmann, 1945",,
22701823,Ammonastes pelzelni,"Myrmeciza pelzelni Sclater, 1890",Myrmeciza,pelzelni,"Sclater, 1890",,
22701832,Myrmelastes hyperythrus,"Myrmeciza hyperythra (Sclater, 1855)",Myrmeciza,hyperythra,"(Sclater, 1855)",,
22701838,Akletos goeldii,"Myrmeciza goeldii Snethlage, 1908",Myrmeciza,goeldii,"Snethlage, 1908",,
22701847,Ampelornis griseiceps,"Myrmeciza griseiceps (Chapman, 1923)",Myrmeciza,griseiceps,"(Chapman, 1923)",,
22701879,Oneillornis lunulatus,Gymnopithys lunulata,Gymnopithys lunulata,,Stotz et al. (1996),,
22701879,Oneillornis lunulatus,Gymnopithys lunulata,Gymnopithys lunulata,,"Sibley and Monroe (1990, 1993)",,
22701879,Oneillornis lunulatus,Gymnopithys lunulata,Gymnopithys lunulata,,BirdLife International (2004),,
22701879,Oneillornis lunulatus,"Gymnopithys lunulatus (Sclater & Salvin, 1873)",Gymnopithys,lunulatus,"(Sclater & Salvin, 1873)",,
